iter	Passed	Remaining
0	70	42397
1	76	22911
2	81	16301
3	86	12923
4	92	10987
5	97	9683
6	102	8707
7	107	7974
8	112	7419
9	118	7016
10	124	6658
11	130	6397
12	136	6148
13	141	5943
14	147	5762
15	153	5587
16	158	5446
17	164	5321
18	170	5212
19	176	5110
20	182	5022
21	188	4945
22	194	4879
23	200	4819
24	206	4755
25	212	4690
26	218	4634
27	224	4587
28	230	4535
29	235	4483
30	241	4441
31	247	4393
32	253	4350
33	259	4313
34	265	4278
35	270	4236
36	276	4200
37	281	4161
38	287	4134
39	293	4108
40	298	4075
41	304	4050
42	310	4028
43	316	4004
44	321	3970
45	328	3951
46	333	3926
47	339	3906
48	345	3880
49	351	3862
50	356	3836
51	361	3814
52	367	3792
53	372	3768
54	377	3745
55	383	3729
56	390	3715
57	395	3697
58	401	3677
59	406	3660
60	412	3643
61	418	3630
62	424	3615
63	429	3594
64	438	3606
65	444	3594
66	450	3583
67	457	3577
68	462	3562
69	468	3546
70	473	3530
71	480	3521
72	488	3523
73	494	3513
74	501	3512
75	511	3528
76	524	3563
77	532	3563
78	539	3558
79	544	3541
80	550	3526
81	555	3510
82	561	3496
83	567	3486
84	573	3475
85	579	3463
86	585	3452
87	590	3436
88	596	3423
89	601	3410
90	607	3395
91	612	3380
92	617	3367
93	623	3354
94	628	3342
95	634	3330
96	639	3317
97	645	3306
98	650	3292
99	656	3281
100	661	3270
101	667	3257
102	672	3244
103	677	3230
104	683	3220
105	688	3209
106	694	3198
107	700	3189
108	705	3176
109	710	3166
110	716	3155
111	722	3146
112	728	3138
113	733	3128
114	739	3120
115	745	3109
116	750	3097
117	755	3086
118	761	3077
119	766	3066
120	772	3057
121	778	3049
122	784	3040
123	789	3030
124	794	3019
125	800	3010
126	805	3001
127	812	2995
128	818	2987
129	823	2977
130	829	2968
131	834	2959
132	840	2951
133	845	2941
134	850	2930
135	856	2921
136	861	2911
137	866	2902
138	872	2892
139	877	2883
140	882	2874
141	887	2864
142	893	2855
143	898	2845
144	904	2836
145	909	2828
146	915	2820
147	920	2811
148	925	2802
149	931	2795
150	937	2787
151	943	2779
152	948	2771
153	954	2765
154	960	2757
155	966	2751
156	971	2742
157	978	2738
158	985	2732
159	990	2724
160	996	2716
161	1001	2709
162	1007	2701
163	1013	2694
164	1018	2686
165	1024	2678
166	1029	2670
167	1035	2662
168	1041	2655
169	1046	2647
170	1052	2639
171	1057	2632
172	1062	2623
173	1068	2614
174	1073	2607
175	1079	2600
176	1084	2592
177	1090	2584
178	1095	2577
179	1102	2571
180	1107	2563
181	1112	2555
182	1118	2548
183	1123	2541
184	1129	2533
185	1135	2526
186	1141	2520
187	1146	2512
188	1152	2505
189	1157	2498
190	1163	2491
191	1169	2485
192	1175	2478
193	1180	2471
194	1186	2464
195	1192	2458
196	1198	2451
197	1203	2442
198	1208	2435
199	1214	2429
200	1220	2421
201	1225	2415
202	1231	2408
203	1236	2400
204	1241	2392
205	1247	2385
206	1252	2377
207	1258	2371
208	1263	2363
209	1269	2356
210	1274	2350
211	1280	2343
212	1286	2337
213	1291	2329
214	1296	2321
215	1301	2314
216	1307	2307
217	1312	2300
218	1318	2293
219	1324	2287
220	1329	2280
221	1334	2272
222	1340	2265
223	1345	2258
224	1350	2251
225	1356	2244
226	1362	2238
227	1367	2231
228	1373	2225
229	1378	2217
230	1384	2210
231	1389	2204
232	1395	2198
233	1401	2191
234	1407	2185
235	1412	2178
236	1417	2171
237	1423	2165
238	1429	2158
239	1434	2151
240	1439	2145
241	1444	2137
242	1450	2131
243	1456	2125
244	1462	2118
245	1468	2112
246	1474	2107
247	1481	2102
248	1487	2096
249	1499	2098
250	1504	2091
251	1509	2084
252	1514	2076
253	1520	2070
254	1525	2063
255	1530	2056
256	1536	2050
257	1541	2043
258	1547	2037
259	1552	2030
260	1558	2024
261	1563	2017
262	1569	2011
263	1575	2004
264	1581	1998
265	1586	1992
266	1592	1986
267	1598	1980
268	1604	1973
269	1609	1966
270	1614	1960
271	1619	1953
272	1626	1947
273	1631	1941
274	1637	1934
275	1642	1928
276	1647	1921
277	1653	1915
278	1658	1908
279	1663	1901
280	1669	1895
281	1674	1888
282	1680	1881
283	1685	1875
284	1691	1869
285	1697	1863
286	1702	1856
287	1708	1850
288	1713	1843
289	1719	1837
290	1724	1830
291	1729	1824
292	1735	1818
293	1740	1811
294	1746	1805
295	1751	1799
296	1757	1793
297	1762	1786
298	1768	1780
299	1773	1773
300	1779	1767
301	1784	1761
302	1790	1755
303	1796	1749
304	1802	1743
305	1808	1737
306	1813	1730
307	1820	1725
308	1826	1719
309	1832	1714
310	1837	1707
311	1843	1701
312	1848	1695
313	1853	1688
314	1859	1682
315	1864	1675
316	1870	1669
317	1876	1664
318	1881	1657
319	1887	1651
320	1893	1645
321	1898	1639
322	1903	1632
323	1909	1626
324	1915	1620
325	1921	1614
326	1927	1608
327	1933	1603
328	1938	1596
329	1944	1590
330	1949	1584
331	1955	1578
332	1960	1572
333	1966	1565
334	1971	1559
335	1977	1553
336	1982	1547
337	1988	1541
338	1993	1535
339	1999	1528
340	2005	1523
341	2011	1517
342	2016	1511
343	2023	1505
344	2028	1499
345	2034	1493
346	2039	1486
347	2044	1480
348	2049	1473
